date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end
2016-12-06,47.32,47.32,47.32,47.32,3010,3.856933039110186,0.0,,,,,0,1,0,0,0
2016-12-07,50.62,50.62,50.62,50.62,30,3.9243467551169777,0.0674137160067918,,,,,0,2,0,0,0
2016-12-08,54.13,54.13,54.13,54.13,1000,3.9913885608088866,0.06704180569190887,,,,,0,3,0,0,0
2016-12-09,54.13,57.9,54.13,57.9,3010,4.05871738457895,0.0673288237700631,,,,,0,4,0,1,0
2016-12-12,61.95,61.95,61.95,61.95,35690,4.126327608075152,0.06761022349620216,0.030119922352899193,,,,0,0,1,0,0
2016-12-13,66.25,66.25,66.25,66.25,96830,4.193435464866331,0.06710785679117937,0.00023107514691423717,,,,0,1,0,0,0
2016-12-14,70.88,70.88,70.88,70.88,154380,4.2609883062968255,0.06755284143049423,0.0002552323365165334,,,,0,2,0,0,0
2016-12-15,75.82,75.82,75.29,75.82,380050,4.328362110088189,0.06737380379136315,0.000199069362673818,,,,0,3,0,0,0
2016-12-16,81.13,81.13,71.7,80.66,387520,4.390242789445222,0.06188067935703323,0.0024810406234718444,,,,0,4,0,1,0
2016-12-19,76.0,80.66,76.0,76.0,168190,4.330733340286331,-0.05950944915889078,0.05617012687025227,0.043039421710954824,,,0,0,1,0,0
2016-12-20,75.64,75.82,70.7,70.7,399710,4.258445572902527,-0.07228776738380382,0.0722036483210726,0.056000484883299194,,,0,1,0,0,0
2016-12-21,70.7,72.96,66.32,71.99,241750,4.276527220481212,0.018081647578684468,0.0659810544321027,0.05550270173465505,,,0,2,0,0,0
2016-12-22,75.25,75.25,72.78,72.78,52460,4.287441192184014,0.010913971702802172,0.056363265482233124,0.05475993276770867,,,0,3,0,0,0
2016-12-23,72.78,72.78,70.66,71.7,54810,4.272490747605575,-0.014950444578438749,0.04081471466159795,0.05464329621767267,,,0,4,0,1,0
2016-12-26,72.07,72.07,69.15,71.7,169870,4.272490747605575,0.0,0.03611321760616853,0.05242497794289454,,,0,0,1,0,1
2016-12-27,71.7,72.72,70.28,72.07,69880,4.27763786893635,0.005147121330774773,0.012473978547019586,0.04908699202699792,,,0,1,0,0,1
2016-12-28,72.72,72.72,71.74,72.39,28530,4.28206816830505,0.004430299368699764,0.00978021678383528,0.04448046346478457,,,0,2,0,0,1
2016-12-29,72.07,72.07,70.25,71.7,98560,4.272490747605575,-0.009577420699474537,0.008897472003596236,0.038139185687249035,,,0,3,0,0,1
2016-12-30,72.07,72.07,71.16,71.96,96740,4.2761104090823325,0.0036196614767574076,0.006089518805082174,0.030340295401281026,,,0,4,0,1,1
2017-01-03,71.96,71.96,71.3,71.7,63170,4.272490747605575,-0.0036196614767574076,0.006404125548374728,0.02521007117945116,0.04385678704959619,,1,1,0,0,0
2017-01-04,71.7,72.28,70.97,71.7,87490,4.272490747605575,0.0,0.005750214486541429,0.00950965096623043,0.04385678704959619,,1,2,0,0,0
2017-01-05,71.7,72.07,71.34,71.74,27170,4.273048472104136,0.000557724498561285,0.005049033530595412,0.007496538128208164,0.042646284264460446,,1,3,0,0,0
2017-01-06,72.03,76.4,71.77,74.98,212390,4.317221411307766,0.04417293920362919,0.019859488021275663,0.015812936190376596,0.041538404909111336,,1,4,0,1,0
2017-01-09,74.98,75.7,74.61,74.61,31390,4.312274546483423,-0.004946864824342256,0.02078198780499267,0.014839164834751024,0.03997922758815289,,1,0,1,0,0
2017-01-10,75.3,75.3,73.34,74.43,44540,4.309859086371819,-0.002415460111603984,0.020631208066998412,0.014930496589149266,0.03792894867211731,,1,1,0,0,0
2017-01-11,74.25,76.43,73.52,76.43,228480,4.336375289254793,0.026516202882973516,0.021614391135478264,0.016591579298524405,0.03568557343681607,,1,2,0,0,0
2017-01-12,77.52,77.52,76.43,76.65,55290,4.339249605317823,0.0028743160630302356,0.021309664341763648,0.01661390131984147,0.03273173762401326,,1,3,0,0,0
2017-01-13,76.69,77.23,76.65,77.09,37670,4.344973570471171,0.005723965153348054,0.012453954560026447,0.01572975932654382,0.029147488079039493,,1,4,0,1,0
2017-01-16,76.8,76.8,75.7,76.07,33890,4.33165396900921,-0.013319601461961206,0.01459681739633322,0.01702287691529504,0.02547682435722954,,1,0,1,0,0
2017-01-17,75.89,79.13,75.74,78.8,113760,4.366912996863833,0.035259027854623426,0.019453248913166077,0.019017695653558934,0.02310196121751153,0.03744266438016452,1,1,0,0,0
2017-01-18,78.36,81.89,78.36,81.46,103480,4.400112102220266,0.03319910535643267,0.020924510922204966,0.020055673700809462,0.016349712719191778,0.037413512394354656,1,2,0,0,0
2017-01-19,81.89,81.89,80.07,81.46,40040,4.400112102220266,0.0,0.021299686007444293,0.020094122350312004,0.016208854243033286,0.036359527318622825,1,3,0,0,0
2017-01-20,81.16,81.93,81.16,81.46,77940,4.400112102220266,0.0,0.02187887044694559,0.017029859936821906,0.016224772862799778,0.03514523018654583,1,4,0,1,0
