date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end,overnight,parkinson,gk,close_to_close
2006-10-27,10.79,10.79,10.79,10.79,191620,2.378619779270043,0.0,,,,,0,4,0,1,1,0.0,0.0,0.0,0.0
2006-10-30,10.7,10.7,10.62,10.62,182090,2.362739015813793,-0.015880763456250335,,,,,0,0,1,0,1,7.015800926359418e-05,2.0313473358329727e-05,6.404004728982615e-06,0.0002521986479533829
2006-10-31,10.44,10.53,10.44,10.53,323500,2.354228326145884,-0.0085106896679088,,,,,0,1,0,0,1,0.000292219651875551,2.6574679168420186e-05,8.377906036239616e-06,7.243183862344652e-05
2006-11-01,10.7,10.88,10.7,10.88,210180,2.3869262414277967,0.03269791528191268,,,,,0,2,0,0,0,0.0002564935279353924,0.00010037760114974786,3.16449393517069e-05,0.001069153663783128
2006-11-02,10.97,10.97,10.79,10.79,280390,2.378619779270043,-0.008306462157753547,0.01912316307477764,,,,0,3,0,0,0,6.786518539160403e-05,9.872373539396925e-05,3.112354333368953e-05,6.899731357818951e-05
2006-11-03,10.7,10.7,10.7,10.7,145590,2.3702437414678603,-0.008376037802182879,0.01948658430400922,,,,0,4,0,1,0,7.015800926359418e-05,0.0,0.0,7.015800926359418e-05
2006-11-06,10.7,10.79,10.7,10.79,178510,2.378619779270043,0.008376037802182879,0.01803093941619029,,,,0,0,1,0,0,0.0,2.5304153010807e-05,7.97736126587351e-06,7.01580092635933e-05
2006-11-07,10.88,10.88,10.79,10.79,197790,2.378619779270043,0.0,0.017025557250696037,,,,0,1,0,0,0,6.899731357818979e-05,2.4885520533478784e-05,7.845383621419425e-06,0.0
2006-11-08,10.79,10.79,10.79,10.79,150920,2.378619779270043,0.0,0.006991313706839129,,,,0,2,0,0,0,0.0,0.0,0.0,0.0
2006-11-09,10.79,10.79,10.79,10.79,157120,2.378619779270043,0.0,0.005922753129398383,0.013346233269958605,,,0,3,0,0,0,0.0,0.0,0.0,0.0
2006-11-10,10.79,10.79,10.7,10.7,187530,2.3702437414678603,-0.008376037802182879,0.005922753129398383,0.013606533115474698,,,0,4,0,1,0,0.0,2.5304153010807e-05,7.977361265873172e-06,7.015800926359418e-05
2006-11-13,10.7,10.79,10.7,10.79,128790,2.378619779270043,0.008376037802182879,0.005922753129398383,0.012762771330204585,,,0,0,1,0,0,0.0,2.5304153010807e-05,7.97736126587351e-06,7.01580092635933e-05
2006-11-14,10.79,11.06,10.79,11.06,275600,2.403334996094189,0.02471521682414579,0.012539832262223693,0.014096802055545478,,,0,1,0,0,0,0.0,0.00022031466036227204,6.94561733454368e-05,0.0006108419426645233
2006-11-15,11.32,11.32,11.06,11.06,404230,2.403334996094189,0.0,0.012539832262223693,0.01018466478108104,,,0,2,0,0,0,0.0005399152595182485,0.00019473326685181372,6.139140952464135e-05,0.0
2006-11-16,10.88,10.88,10.88,10.88,102170,2.3869262414277967,-0.016408754666392245,0.015863525208618855,0.011322649268233983,,,0,3,0,0,0,0.0002692472297018445,0.0,0.0,0.0002692472297018445
2006-11-17,10.97,11.06,10.88,11.06,225060,2.403334996094189,0.016408754666392245,0.01581524726950966,0.011786561635017397,,,0,4,0,1,0,6.786518539160403e-05,9.711041076598714e-05,0.00010883433488661896,0.0002692472297018486
2006-11-20,11.06,11.06,10.88,10.88,288090,2.3869262414277967,-0.016408754666392245,0.018740225245807804,0.013131810059459355,,,0,0,1,0,0,0.0,9.711041076598714e-05,3.0614928269949855e-05,0.0002692472297018445
2006-11-21,10.88,10.88,10.88,10.88,252180,2.3869262414277967,0.0,0.013728549114574874,0.013131810059459355,,,0,1,0,0,0,0.0,0.0,0.0,0.0
2006-11-22,10.97,10.97,10.97,10.97,522740,2.395164274287139,0.008238032859342326,0.01468208717730139,0.013330803110556531,,,0,2,0,0,0,6.786518539160403e-05,0.0,0.0,6.786518539160403e-05
2006-11-23,11.24,11.5,11.24,11.5,932860,2.4423470353692043,0.047182761082065205,0.0235493084182071,0.01956999251127809,0.01662752490203024,,0,3,0,0,0,0.0005911983229606344,0.00018861584158206838,5.946283632272977e-05,0.00222621294332727
2006-11-24,12.03,12.03,12.03,12.03,1422510,2.4874035299865875,0.04505649461738326,0.028195342644945432,0.0222117733355372,0.01904906096275145,,0,4,0,1,0,0.0020300877072062635,0.0,0.0,0.0020300877072062635
2006-11-27,12.56,12.56,11.5,11.5,1155520,2.4423470353692043,-0.04505649461738326,0.03788126404606977,0.028609867873998194,0.021700327658287773,,0,0,1,0,1,0.0018587851826143257,0.0028038673743623664,0.0008839443461052371,0.002030087707206271
2006-11-28,11.68,11.85,11.68,11.68,769620,2.457877977400081,0.015530942030876904,0.037378583226233074,0.028098461230367005,0.021637768927974373,,0,1,0,0,1,0.00024121016036645121,7.530843812853618e-05,0.00010439966312233588,0.00024121016036645121
2006-11-29,11.5,11.5,11.24,11.24,683560,2.419478844465545,-0.03839913293453634,0.04439552979647373,0.03136104522546666,0.022693827699918387,,0,2,0,0,1,0.00024121016036645008,0.00018861584158206838,5.9462836322728987e-05,0.0014744934101241604
2006-11-30,11.32,11.41,11.32,11.32,452420,2.4265710727750367,0.007092228309491855,0.03800132395108974,0.030734670994325,0.02260007703456876,,0,3,0,0,1,5.029970239395744e-05,2.2618574233674336e-05,3.135600191671438e-05,5.029970239395744e-05
2006-12-01,11.32,11.32,11.32,11.32,549720,2.4265710727750367,0.0,0.027640429672907866,0.030433009344325194,0.0224671409922738,,0,4,0,1,0,0.0,0.0,0.0,0.0
2006-12-04,11.5,11.5,11.32,11.32,251050,2.4265710727750367,0.0,0.02071368553475029,0.02974537415158667,0.02243609654912699,,0,0,1,0,0,0.000248880995772569,8.976484459314808e-05,2.8299172629437337e-05,0.0
2006-12-05,11.32,11.32,11.24,11.24,328060,2.419478844465545,-0.007092228309491855,0.01788990031335606,0.029934352844472982,0.022531828958719424,,0,1,0,0,0,0.0,1.8141782800488277e-05,5.7193597961838986e-06,5.029970239395848e-05
2006-12-06,11.32,11.32,11.24,11.24,391760,2.419478844465545,0.0,0.005014962731364865,0.02989532014792491,0.022531828958719424,,0,2,0,0,0,5.029970239395744e-05,1.8141782800488277e-05,5.7193597961838986e-06,0.0
2006-12-07,11.32,11.77,11.32,11.77,724950,2.4655539212721855,0.04607507680664069,0.02161758491218124,0.029712577092121894,0.02457479626639614,0.021337637287781007,0,3,0,0,0,5.029970239395744e-05,0.0005481023798307847,0.0001727941928239134,0.002122912702737795
2006-12-08,11.77,11.77,11.77,11.77,159600,2.4655539212721855,0.0,0.02161758491218124,0.02565056387754781,0.02441743266760653,0.021337637287781007,0,4,0,1,0,0.0,0.0,0.0,0.0
2006-12-11,12.03,12.03,12.03,12.03,845050,2.4874035299865875,0.021849608714402002,0.02185463472598681,0.02163744775529542,0.024706448159914626,0.021304550054026903,0,0,1,0,0,0.00047740540097247465,0.0,0.0,0.00047740540097247465
2006-12-12,12.03,12.03,11.68,11.68,595410,2.457877977400081,-0.029525552586506354,0.02818322939810138,0.023681143868208195,0.02544511919517609,0.02206721017605713,0,1,0,0,0,0.0,0.00031442032802987474,9.912382939502277e-05,0.0008717582555385615
