date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end
2018-03-23,20.05,21.4,19.78,21.13,97700,3.0506938316279655,0.04798594433754921,0.06937489599683483,0.05708170480457096,0.05054588682797031,,0,4,0,1,0
2018-03-26,21.84,21.93,20.41,21.58,198500,3.0717669598299886,0.021073128202023117,0.06786247101064273,0.05605810900974089,0.05072153176659997,,0,0,1,0,1
2018-03-27,21.58,24.09,18.7,21.58,362200,3.0717669598299886,0.0,0.05348080532348246,0.05359755518792949,0.04962262536472149,,0,1,0,0,1
2018-03-28,21.22,23.55,20.23,21.49,433200,3.067587710654419,-0.004179249175569666,0.05225100681054807,0.04843645358952094,0.04523258862368078,,0,2,0,0,1
2018-03-29,21.4,22.74,21.13,21.4,272700,3.0633909220278057,-0.004196788626613213,0.022612610440003435,0.04923127940205591,0.045253920434405855,,0,3,0,0,1
2018-03-30,21.67,22.47,21.67,22.38,46000,3.108167702883779,0.044776780855973364,0.021351035215328412,0.049616012569350686,0.04553744351207908,,0,4,0,1,1
2018-04-02,22.47,23.1,22.47,23.1,47800,3.139832617527748,0.0316649146439687,0.023000648524095793,0.04813430947471398,0.045568954281227994,,0,0,1,0,0
2018-04-03,23.28,24.27,22.92,23.64,49300,3.1629401925378975,0.023107575010149706,0.02187552531968809,0.03970603791856339,0.045627828220920506,0.04525491291782065,0,1,0,0,0
2018-04-04,23.64,23.64,23.01,23.37,60400,3.1514531485507664,-0.011487043987131074,0.023898063863590085,0.039857612511997625,0.04180702248378256,0.0453182738504887,0,2,0,0,0
2018-04-05,23.37,23.64,23.01,23.55,206800,3.159125820462427,0.007672671911660434,0.021790909023330193,0.02125913864347528,0.041354872786986956,0.04533227968180097,0,3,0,0,0
2018-04-06,23.37,23.55,22.92,23.19,70500,3.1437211512674406,-0.015404669194986287,0.020687817735921408,0.019954004119621855,0.04163625422296336,0.042579525710968825,0,4,0,1,0
2018-04-09,22.83,24.09,22.74,23.82,71600,3.170525563927154,0.02680441265971334,0.01931418569329139,0.020406813570947643,0.041170227694268584,0.042752910070883596,0,0,1,0,0
2018-04-10,22.74,23.55,22.74,23.37,63800,3.1514531485507664,-0.019072415376387486,0.019261159344925477,0.022241194788055137,0.04035594187521467,0.04220682108444955,0,1,0,0,0
2018-04-11,23.37,23.37,22.47,23.19,77400,3.1437211512674406,-0.007731997283325853,0.0188827587972739,0.022483853856209424,0.03770497042702392,0.03873144750380437,0,2,0,0,0
2018-04-12,23.1,23.19,22.47,23.1,100200,3.139832617527748,-0.003888533739692779,0.018165876940482224,0.022466067288695567,0.037867628307531306,0.03876026241604211,0,3,0,0,0
2018-04-13,23.19,23.37,22.65,23.19,36600,3.1437211512674406,0.003888533739692779,0.017119132115855692,0.01828966531950719,0.03759009083219043,0.03827917708399189,0,4,0,1,0
2018-04-16,23.01,23.1,23.01,23.1,55000,3.139832617527748,-0.003888533739692779,0.00837394026844071,0.015454108989478533,0.03616446046027826,0.038142044886287856,0,0,1,0,0
2018-04-17,23.1,23.1,22.47,23.1,58000,3.139832617527748,0.0,0.004419799703384918,0.013174509633688946,0.0325700721908609,0.03808523228014479,0,1,0,0,0
2018-04-18,23.01,23.1,23.01,23.1,10500,3.139832617527748,0.0,0.0032533807418303057,0.012780408119854814,0.03227918512382455,0.03520556366277218,0,2,0,0,0
2018-04-19,22.47,23.01,22.29,23.01,30000,3.1359289040472746,-0.0039037134804731366,0.003257014447295564,0.012410177503756253,0.01928559053507664,0.03477625864125688,0,3,0,0,0
2018-04-20,22.92,23.1,22.92,23.1,20200,3.139832617527748,0.0039037134804731366,0.003262457417003569,0.011625380857111216,0.016653496513091663,0.03471442521181495,0,4,0,1,0
2018-04-23,22.92,23.01,22.47,22.47,31600,3.112181086197238,-0.027651531330509904,0.012670474594633378,0.01013015426477234,0.017630105092539563,0.034963075019615215,0,0,1,0,0
2018-04-24,22.92,22.92,22.47,22.47,21100,3.112181086197238,0.0,0.012670474594633378,0.009104342801170518,0.017630105092539563,0.03410957858693096,0,1,0,0,0
2018-04-26,22.47,22.47,22.38,22.38,28200,3.108167702883779,-0.004013383313458796,0.012355758015356832,0.009007094137125688,0.017627073853188843,0.032294213912008284,0,3,0,0,1
2018-04-27,22.47,22.47,22.47,22.47,33200,3.112181086197238,0.004013383313458796,0.0132218463590907,0.009315937984838235,0.017569962275993292,0.03214753927590978,0,4,0,1,1
2018-05-02,22.47,23.01,22.47,23.01,13900,3.1359289040472746,0.023747817850036768,0.01842371252635226,0.012473559901951547,0.015397977402232149,0.031874214798162374,0,2,0,0,0
2018-05-03,23.1,23.1,22.83,22.92,1300,3.132009891846539,-0.003919012200735761,0.011542266824740247,0.012474407755252003,0.013674838117738859,0.030496054641806845,0,3,0,0,0
2018-05-04,23.1,23.1,23.1,23.1,4700,3.139832617527748,0.007822725681208897,0.011399622807450238,0.012770679005659853,0.012683639520692014,0.02795910704132029,0,4,0,1,0
2018-05-07,21.58,21.58,19.87,20.68,11900,3.0291670496402285,-0.11066556788751925,0.05397978108805609,0.03725287953772586,0.027578155692347468,0.03531067654641032,0,0,1,0,0
2018-05-08,22.38,22.47,18.88,22.38,101600,3.108167702883779,0.07900065324355054,0.06914705746812765,0.04697928136863883,0.0334432985081973,0.03080749829356228,0,1,0,0,0
